City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
293,Puerto Carreno,CO,6.189,-67.4859,89.58,43,20,11.5,few clouds
294,Voh,NC,-20.9667,164.7,76.06,90,99,3.2,overcast clouds
295,Pascagoula,US,30.3658,-88.5561,63.05,48,0,11.5,clear sky
296,Charlestown,AU,-32.95,151.6667,70.83,93,50,1.14,scattered clouds
297,Madimba,TZ,-10.4,40.3333,76.86,85,55,3.6,broken clouds
298,Manado,ID,1.487,124.8455,75.97,94,40,0.0,scattered clouds
299,Giyani,ZA,-23.3025,30.7187,73.29,76,88,8.34,overcast clouds
300,Katobu,ID,-4.9408,122.5276,76.86,86,100,2.26,overcast clouds
301,Port Elizabeth,ZA,-33.918,25.5701,77.09,83,20,18.41,few clouds
302,Santiago De Cao,PE,-7.9589,-79.2392,69.93,78,40,10.36,scattered clouds
303,San Jeronimo,PE,-11.9472,-75.2829,59.36,57,100,5.35,overcast clouds
304,Lorengau,PG,-2.0226,147.2712,79.23,82,100,10.45,light rain
305,Naze,JP,28.3667,129.4833,52.81,69,97,18.9,overcast clouds
306,Kutum,SD,14.2,24.6667,61.97,14,1,10.8,clear sky
307,Matara,LK,5.9485,80.5353,76.95,91,34,7.27,scattered clouds
308,Kahului,US,20.8947,-156.47,74.84,75,20,3.44,few clouds
309,Sao Filipe,CV,14.8961,-24.4956,71.82,70,100,15.59,overcast clouds
310,Fairbanks,US,64.8378,-147.7164,-28.98,67,0,0.0,light snow
311,Hirara,JP,24.8,125.2833,62.42,61,92,28.95,overcast clouds
312,Cortez,US,37.3489,-108.5859,51.69,40,0,0.0,clear sky
313,Sucua,EC,-2.4667,-78.1667,70.54,94,100,4.61,moderate rain
314,Chapayevka,UA,47.4711,36.3451,32.05,93,100,18.23,overcast clouds
315,Gambela,ET,8.25,34.5833,86.68,25,17,3.49,few clouds
316,Havoysund,NO,70.9963,24.6622,32.23,66,95,14.5,overcast clouds
317,Kitimat,CA,54.0524,-128.6534,37.9,49,100,5.44,overcast clouds
318,Sonoita,MX,31.85,-112.8333,63.54,19,1,3.42,clear sky
319,Mnogovershinnyy,RU,53.9353,139.9242,1.49,96,100,6.38,light snow
320,Parry Sound,CA,45.3501,-80.033,21.22,67,97,2.01,overcast clouds
321,Kishapu,TZ,-3.6167,33.8667,68.45,84,92,3.98,moderate rain
322,Freeport,US,40.6576,-73.5832,26.11,56,0,7.0,clear sky
323,Cockburn Town,TC,21.4612,-71.1419,78.76,65,40,17.27,scattered clouds
324,Ueda,JP,36.4,138.2667,27.61,89,96,3.4,overcast clouds
325,Tabas,IR,33.5959,56.9244,46.96,29,7,1.34,clear sky
326,Korla,CN,41.7597,86.1469,23.4,59,39,2.28,scattered clouds
